kode;operator;kategori;betegnelse;imei;abo_type;gyldig_fra;gyldig_til;merknad
TEDELBET10500;Telia;delbetaling;TELIA Fleksibel delbetaling 10500 6, 12, 18, 24 MND;;;;;
TEDELBET11000;Telia;delbetaling;TELIA Fleksibel delbetaling 11000 6, 12, 18, 24 MND;;;;;
TEDELBET11500;Telia;delbetaling;TELIA Fleksibel delbetaling 11500 6, 12, 18, 24 MND;;;;;
TEDELBET12000;Telia;delbetaling;TELIA Fleksibel delbetaling 12000 6, 12, 18, 24 MND;;;;;
TEDELBET12500;Telia;delbetaling;TELIA Fleksibel delbetaling 12500 6, 12, 18, 24 MND;;;;;
TEDELBET13000;Telia;delbetaling;TELIA Fleksibel delbetaling 13000 6, 12, 18, 24 MND;;;;;
TEDELBET13500;Telia;delbetaling;TELIA Fleksibel delbetaling 13500 6, 12, 18, 24 MND;;;;;
TEDELBET14000;Telia;delbetaling;TELIA Fleksibel delbetaling 14000 6, 12, 18, 24 MND;;;;;
TEDELBET14500;Telia;delbetaling;TELIA Fleksibel delbetaling 14500 6, 12, 18, 24 MND;;;;;
TEDELBET1500;Telia;delbetaling;TELIA Fleksibel delbetaling 1500 6, 12, 18, 24 MND;;;;;
TEDELBET15000;Telia;delbetaling;TELIA Fleksibel delbetaling 15000 6, 12, 18, 24 MND;;;;;
TEDELBET15500;Telia;delbetaling;TELIA Fleksibel delbetaling 15500 6, 12, 18, 24 MND;;;;;
TEDELBET16000;Telia;delbetaling;TELIA Fleksibel delbetaling 16000 6, 12, 18, 24 MND;;;;;
TEDELBET16500;Telia;delbetaling;TELIA Fleksibel delbetaling 16500 6, 12, 18, 24 MND;;;;;
TEDELBET17000;Telia;delbetaling;TELIA Fleksibel delbetaling 17000 6, 12, 18, 24 MND;;;;;
TEDELBET17500;Telia;delbetaling;TELIA Fleksibel delbetaling 17500 6, 12, 18, 24 MND;;;;;
TEDELBET18000;Telia;delbetaling;TELIA Fleksibel delbetaling 18000 6, 12, 18, 24 MND;;;;;
TEDELBET18500;Telia;delbetaling;TELIA Fleksibel delbetaling 18500 6, 12, 18, 24 MND;;;;;
TEDELBET19000;Telia;delbetaling;TELIA Fleksibel delbetaling 19000 6, 12, 18, 24 MND;;;;;
TEDELBET19500;Telia;delbetaling;TELIA Fleksibel delbetaling 19500 6, 12, 18, 24 MND;;;;;
TEDELBET2000;Telia;delbetaling;TELIA Fleksibel delbetaling 2000 6, 12, 18, 24 MND;;;;;
TEDELBET20000;Telia;delbetaling;TELIA Fleksibel delbetaling 20000 6, 12, 18, 24 MND;;;;;
TEDELBET20500;Telia;delbetaling;TELIA Fleksibel delbetaling 20500 6, 12, 18, 24 MND;;;;;
TEDELBET21000;Telia;delbetaling;TELIA Fleksibel delbetaling 21000 6, 12, 18, 24 MND;;;;;
TEDELBET21500;Telia;delbetaling;TELIA Fleksibel delbetaling 21500 6, 12, 18, 24 MND;;;;;
TEDELBET22000;Telia;delbetaling;TELIA Fleksibel delbetaling 22000 6, 12, 18, 24 MND;;;;;
TEDELBET22500;Telia;delbetaling;TELIA Fleksibel delbetaling 22500 6, 12, 18, 24 MND;;;;;
TEDELBET23000;Telia;delbetaling;TELIA Fleksibel delbetaling 23000 6, 12, 18, 24 MND;;;;;
TEDELBET23500;Telia;delbetaling;TELIA Fleksibel delbetaling 23500 6, 12, 18, 24 MND;;;;;
TEDELBET24000;Telia;delbetaling;TELIA Fleksibel delbetaling 24000 6, 12, 18, 24 MND;;;;;
TEDELBET24500;Telia;delbetaling;TELIA Fleksibel delbetaling 24500 6, 12, 18, 24 MND;;;;;
TEDELBET2500;Telia;delbetaling;TELIA Fleksibel delbetaling 2500 6, 12, 18, 24 MND;;;;;
TEDELBET25000;Telia;delbetaling;TELIA Fleksibel delbetaling 25000 6, 12, 18, 24 MND;;;;;
TEDELBET25500;Telia;delbetaling;TELIA Fleksibel delbetaling 25500 6, 12, 18, 24 MND;;;;;
TEDELBET26000;Telia;delbetaling;TELIA Fleksibel delbetaling 26000 6, 12, 18, 24 MND;;;;;
TEDELBET26500;Telia;delbetaling;TELIA Fleksibel delbetaling 26500 6, 12, 18, 24 MND;;;;;
TEDELBET27000;Telia;delbetaling;TELIA Fleksibel delbetaling 27000 6, 12, 18, 24 MND;;;;;
TEDELBET27500;Telia;delbetaling;TELIA Fleksibel delbetaling 27500 6, 12, 18, 24 MND;;;;;
TEDELBET28000;Telia;delbetaling;TELIA Fleksibel delbetaling 28000 6, 12, 18, 24 MND;;;;;
TEDELBET28500;Telia;delbetaling;TELIA Fleksibel delbetaling 28500 6, 12, 18, 24 MND;;;;;
TEDELBET29000;Telia;delbetaling;TELIA Fleksibel delbetaling 29000 6, 12, 18, 24 MND;;;;;
TEDELBET29500;Telia;delbetaling;TELIA Fleksibel delbetaling 29000 6, 12, 18, 24 MND;;;;;
TEDELBET3000;Telia;delbetaling;TELIA Fleksibel delbetaling 3000 6, 12, 18, 24 MND;;;;;
TEDELBET30000;Telia;delbetaling;TELIA Fleksibel delbetaling 20000 6, 12, 18, 24 MND;;;;;
TEDELBET3500;Telia;delbetaling;TELIA Fleksibel delbetaling 3500 6, 12, 18, 24 MND;;;;;
TEDELBET4000;Telia;delbetaling;TELIA Fleksibel delbetaling 4000 6, 12, 18, 24 MND;;;;;
TEDELBET4500;Telia;delbetaling;TELIA Fleksibel delbetaling 4500 6, 12, 18, 24 MND;;;;;
TEDELBET500;Telia;delbetaling;TELIA Fleksibel delbetaling 500 6, 12, 18, 24 MND;;;;;
